Rank,Player,Pos,Team,ADP,Faraz Rank,Indicators,Tier
1,Jahmyr Gibbs,RB,DET,1.8,1,"Target, High Upside, Safe",1
2,Bijan Robinson,RB,ATL,2,2,"Target, High Upside, Safe",1
3,Josh Allen,QB,BUF,3.6,3,"High Upside, Safe",1
4,Ja'Marr Chase,WR,CIN,4.9,4,"Target, High Upside",1
5,Puka Nacua,WR,LAR,5.9,5,"High Upside, Target",1
6,Christian McCaffrey,RB,SF,7,6,"High Upside, Target",1
7,James Cook III,RB,BUF,12.4,7,"Target, High Upside, Safe",1
8,Jayden Daniels,QB,WAS,19,8,"High Upside, Target",1
9,Lamar Jackson,QB,BAL,8.5,9,High Upside,1
10,Jalen Hurts,QB,PHI,28.7,10,"Target, High Upside, Safe",1
11,Drake Maye,QB,NE,11.2,11,"Target, High Upside, Safe",1
12,Amon-Ra St. Brown,WR,DET,10.9,12,"Target, High Upside, Safe",2
13,Jaxon Smith-Njigba,WR,SEA,6.3,13,High Upside,2
14,Joe Burrow,QB,CIN,14.3,14,High Upside,2
15,Kenneth Walker III,RB,KC,22.3,15,"High Upside, Target",2
16,Jonathan Taylor,RB,IND,8,16,,2
17,Chase Brown,RB,CIN,25.3,17,"Target, High Upside",2
18,Saquon Barkley,RB,PHI,17.5,18,"High Upside, Safe",2
19,Trevor Lawrence,QB,JAX,40.5,19,"Target, High Upside",3
20,Caleb Williams,QB,CHI,26.4,20,"High Upside, Target",3
21,Justin Herbert,QB,LAC,32.9,21,"Target, High Upside",3
22,Brock Purdy,QB,SF,55.9,22,"Target, Safe",3
23,De'Von Achane,RB,MIA,16.4,23,,3
24,Derrick Henry,RB,BAL,29.2,24,Boom/Bust,3
25,Jaxson Dart,QB,NYG,42.8,25,High Upside,3
26,Justin Jefferson,WR,MIN,15.2,26,"High Upside, Target",3
27,Dak Prescott,QB,DAL,35.6,27,"High Upside, Safe, Target",3
28,Chris Olave,WR,NO,35.9,28,"Target, High Upside",3
29,Bo Nix,QB,DEN,48.6,29,"High Upside, Boom/Bust",3
30,Matthew Stafford,QB,LAR,60.9,30,"Boom/Bust, High Upside",3
31,Drake London,WR,ATL,26.7,31,Safe,3
32,Brock Bowers,TE,LV,21.9,32,"High Upside, Target",3
33,CeeDee Lamb,WR,DAL,13.3,33,"High Upside, Safe",4
34,George Pickens,WR,DAL,31.2,34,"Target, High Upside",4
35,Trey McBride,TE,ARI,20.3,35,Safe,4
36,Nico Collins,WR,HOU,30.8,36,High Upside,4
37,Omarion Hampton,RB,LAC,23.1,37,"High Upside, Target",4
38,Javonte Williams,RB,DAL,47.7,38,"Safe, Target",5
39,Kyren Williams,RB,LAR,38.6,39,"Safe, Avoid",6
40,A.J. Brown,WR,NE,24.9,40,"High Upside, Target",6
41,Ashton Jeanty,RB,LV,17.8,41,"High Upside, Safe",6
42,Malik Nabers,WR,NYG,34.6,42,"Boom/Bust, Target, High Upside",6
43,Tee Higgins,WR,CIN,46.4,43,"Target, High Upside",6
44,Garrett Wilson,WR,NYJ,56.4,44,"Safe, High Upside, Target",7
45,DeVonta Smith,WR,PHI,49.6,45,"Target, High Upside, Safe",7
46,Jeremiyah Love,RB,ARI,33.4,46,"High Upside, Target",7
47,Travis Etienne Jr.,RB,NO,58.2,47,Safe,7
48,D'Andre Swift,RB,CHI,62.8,48,"Safe, Target",7
49,Colston Loveland,TE,CHI,39.1,49,"Target, High Upside",7
50,Jaylen Waddle,WR,DEN,59.8,50,"Target, High Upside, Safe",7
51,Bhayshul Tuten,RB,JAX,74.4,51,"Target, High Upside, Boom/Bust",7
52,Breece Hall,RB,NYJ,43.5,52,"High Upside, Target",7
53,Emeka Egbuka,WR,TB,57.6,53,"High Upside, Avoid",7
54,Luther Burden III,WR,CHI,64.7,54,"High Upside, Target",7
55,Zay Flowers,WR,BAL,50,55,"High Upside, Safe, Target",7
56,Rashee Rice,WR,KC,37.6,56,High Upside,7
57,Mike Evans,WR,SF,77.6,57,"High Upside, Target",7
58,Ladd McConkey,WR,LAC,52.1,58,"Target, High Upside, Boom/Bust",7
59,Quinshon Judkins,RB,CLE,66,59,"Boom/Bust, Avoid",7
60,David Montgomery,RB,HOU,65.2,60,"Safe, Target",7
61,Christian Watson,WR,GB,80.4,61,"Target, High Upside",7
62,Tyler Warren,TE,IND,51.7,62,"Target, High Upside, Safe",7
63,Parker Washington,WR,JAX,85.9,63,"Target, High Upside",7
64,Rome Odunze,WR,CHI,79,64,"High Upside, Target",7
65,DJ Moore,WR,BUF,70.9,65,"Boom/Bust, Target",7
66,Tetairoa McMillan,WR,CAR,44.8,66,Avoid,7
67,Tucker Kraft,TE,GB,75.6,67,"High Upside, Target",7
68,Baker Mayfield,QB,TB,73.2,68,"Sleeper, Boom/Bust, High Upside",8
69,Bucky Irving,RB,TB,53,69,Avoid,8
70,Davante Adams,WR,LAR,62.8,70,"Boom/Bust, High Upside",8
71,Jameson Williams,WR,DET,71.8,71,Boom/Bust,8
72,Jadarian Price,RB,SEA,83.3,72,Target,8
73,Rhamondre Stevenson,RB,NE,92.7,73,Safe,8
74,J.K. Dobbins,RB,DEN,105.5,74,Avoid,8
75,Terry McLaurin,WR,WAS,69.7,75,Safe,8
76,Alec Pierce,WR,IND,114.3,76,,8
77,Josh Jacobs,RB,GB,41.9,77,"Boom/Bust, Avoid, High Upside",8
78,Jordan Mason,RB,MIN,122,78,"Target, Sleeper",8
79,Dallas Goedert,TE,PHI,119,79,"Target, High Upside, Sleeper",8
80,Marvin Harrison Jr.,WR,ARI,89.2,80,"Avoid, Boom/Bust",9
81,KC Concepcion,WR,CLE,130.6,81,"High Upside, Target",9
82,Jordan Addison,WR,MIN,116.4,82,"Sleeper, Target, High Upside, Boom/Bust",9
83,Harold Fannin Jr.,TE,CLE,76,83,High Upside,9
84,Kyle Pitts Sr.,TE,ATL,78.4,84,"Boom/Bust, High Upside",9
85,Sam LaPorta,TE,DET,68.5,85,Boom/Bust,9
86,Jared Goff,QB,DET,61.1,86,Safe,9
87,Patrick Mahomes II,QB,KC,44.4,87,"Safe, Avoid",9
88,Kyler Murray,QB,MIN,82.2,88,"Target, Sleeper",9
