Rank,Player,Pos,Team,ADP,Faraz Rank,Indicators,Tier
1,Josh Allen,QB,BUF,3,3,"High Upside, Safe",1
2,Jayden Daniels,QB,WAS,19.1,8,"High Upside, Target",1
3,Lamar Jackson,QB,BAL,8.6,9,High Upside,1
4,Jalen Hurts,QB,PHI,28.7,10,"Target, High Upside, Safe",1
5,Drake Maye,QB,NE,12.9,11,"Target, High Upside, Safe",1
6,Joe Burrow,QB,CIN,14.2,14,High Upside,2
7,Trevor Lawrence,QB,JAX,40.7,19,"Target, High Upside",3
8,Caleb Williams,QB,CHI,26.7,20,"High Upside, Target",3
9,Justin Herbert,QB,LAC,32.9,21,"Target, High Upside",3
10,Brock Purdy,QB,SF,55.7,22,"Target, Safe",3
11,Jaxson Dart,QB,NYG,42.7,25,High Upside,3
12,Dak Prescott,QB,DAL,35.5,27,"High Upside, Safe, Target",3
13,Bo Nix,QB,DEN,48.8,29,"High Upside, Boom/Bust",3
14,Matthew Stafford,QB,LAR,60.8,30,"Boom/Bust, High Upside",3
15,Baker Mayfield,QB,TB,73.3,68,"Sleeper, Boom/Bust, High Upside",8
16,Jared Goff,QB,DET,61.3,86,Safe,9
17,Patrick Mahomes II,QB,KC,43.3,87,"Safe, Avoid",9
18,Kyler Murray,QB,MIN,83.6,88,"Target, Sleeper",9
19,Tyler Shough,QB,NO,87.8,89,Sleeper,9
20,Malik Willis,QB,MIA,103.8,90,"Sleeper, Boom/Bust",10
21,Daniel Jones,QB,IND,111.6,91,Sleeper,11
22,Jacoby Brissett,QB,ARI,149.2,104,,12
23,Jordan Love,QB,GB,71.2,105,Avoid,12
24,Sam Darnold,QB,SEA,86.6,111,,12
25,Geno Smith,QB,NYJ,170.7,112,,12
26,Cam Ward,QB,TEN,107.9,113,,12
27,Aaron Rodgers,QB,PIT,145.3,114,,12
28,Bryce Young,QB,CAR,123.9,129,,12
29,C.J. Stroud,QB,HOU,98.9,130,,12
30,Kirk Cousins,QB,LV,199.4,131,,12
31,Tua Tagovailoa,QB,ATL,197.8,132,,12
32,Deshaun Watson,QB,CLE,202.4,138,,12
33,Fernando Mendoza,QB,LV,119.8,176,,12
34,Shedeur Sanders,QB,CLE,211.9,182,,12
35,Michael Penix Jr.,QB,ATL,206.5,184,,12
36,Carson Beck,QB,ARI,235,,,
37,Will Howard,QB,PIT,240.9,,,
38,Ty Simpson,QB,LAR,250.5,,,
39,Quinn Ewers,QB,JAX,258.6,,,
40,Riley Leonard,QB,IND,277,,,
1,Jahmyr Gibbs,RB,DET,1.5,1,"Target, High Upside, Safe",1
2,Bijan Robinson,RB,ATL,2.6,2,"Target, High Upside, Safe",1
3,Christian McCaffrey,RB,SF,7,6,"High Upside, Target",1
4,James Cook III,RB,BUF,11.6,7,"Target, High Upside, Safe",1
5,Kenneth Walker III,RB,KC,22.2,15,"High Upside, Target",2
6,Jonathan Taylor,RB,IND,8.4,16,,2
7,Chase Brown,RB,CIN,25,17,"Target, High Upside",2
8,Saquon Barkley,RB,PHI,17.5,18,"High Upside, Safe",2
9,De'Von Achane,RB,MIA,16,23,,3
10,Omarion Hampton,RB,LAC,23.8,24,"High Upside, Target",3
11,Derrick Henry,RB,BAL,29.6,38,Boom/Bust,4
12,Javonte Williams,RB,DAL,46.1,39,"Safe, Target",5
13,Ashton Jeanty,RB,LV,17.4,40,"High Upside, Safe",5
14,Jeremiyah Love,RB,ARI,33.3,45,"High Upside, Target",6
15,Kyren Williams,RB,LAR,38.6,46,"Safe, Avoid",7
16,Travis Etienne Jr.,RB,NO,58.1,47,Safe,7
17,Breece Hall,RB,NYJ,41.4,48,"High Upside, Target",7
18,Bhayshul Tuten,RB,JAX,74.3,51,"Target, High Upside, Boom/Bust",7
19,D'Andre Swift,RB,CHI,62.6,52,"Safe, Target",7
20,Quinshon Judkins,RB,CLE,66.3,59,"Boom/Bust, Avoid",7
21,David Montgomery,RB,HOU,65.1,60,"Safe, Target",7
22,Jadarian Price,RB,SEA,82.9,69,Target,8
23,Bucky Irving,RB,TB,53.9,72,Avoid,8
24,J.K. Dobbins,RB,DEN,105.4,73,,
25,MarShawn Lloyd,RB,GB,163.8,74,"Target, High Upside",8
26,Rhamondre Stevenson,RB,NE,92.5,77,Safe,8
27,Cam Skattebo,RB,NYG,53.7,95,"Avoid, Boom/Bust",8
28,Jordan Mason,RB,MIN,118.5,96,"Target, Sleeper",11
29,Josh Jacobs,RB,GB,44.6,103,"Boom/Bust, Avoid, High Upside",11
30,Jaylen Warren,RB,PIT,84.7,106,Target,12
31,Jacory Croskey-Merritt,RB,WAS,127.7,107,"Sleeper, Boom/Bust, High Upside",12
32,Jonathon Brooks,RB,CAR,109.4,115,"Target, High Upside, Sleeper",12
33,TreVeyon Henderson,RB,NE,68.9,118,"Avoid, High Upside, Boom/Bust",12
34,Tony Pollard,RB,TEN,97.6,119,,12
35,Blake Corum,RB,LAR,112.2,120,,12
36,Tank Bigsby,RB,PHI,186.5,133,High Upside,12
37,Rico Dowdle,RB,PIT,100.7,134,Boom/Bust,12
38,RJ Harvey,RB,DEN,88.3,135,"Avoid, Boom/Bust, High Upside",12
39,Tyjae Spears,RB,TEN,181.6,136,"Sleeper, High Upside, Target",12
40,Kenny Gainwell,RB,TB,124.7,139,"Target, Sleeper",12
41,Rachaad White,RB,WAS,138.6,145,,12
42,Chuba Hubbard,RB,CAR,101.4,147,Avoid,12
43,Keaton Mitchell,RB,LAC,183.8,148,"Sleeper, High Upside",12
44,Ray Davis,RB,BUF,236.7,149,"Target, High Upside",12
45,Woody Marks,RB,HOU,154.3,151,Avoid,12
46,Kyle Monangai,RB,CHI,114.2,154,Avoid,12
47,Tyler Allgeier,RB,ARI,139.6,155,,12
48,Mike Washington Jr.,RB,LV,146.7,158,,12
49,Emmett Johnson,RB,KC,206.7,160,,12
50,George Holani,RB,SEA,271.3,161,,12
51,Chris Rodriguez Jr.,RB,JAX,150.1,162,,12
52,Najee Harris,RB,NYG,227.8,166,,12
53,Tyrone Tracy Jr.,RB,NYG,160.3,169,,12
54,Emari Demercado,RB,DAL,313.4,174,,12
55,Kendre Miller,RB,NO,287.3,177,,12
56,Aaron Jones Sr.,RB,MIN,134.6,183,Avoid,12
57,Kaelon Black,RB,SF,194.1,192,,12
58,Jonah Coleman,RB,DEN,158.6,196,,12
59,Zach Charbonnet,RB,SEA,156.8,198,,12
60,Sean Tucker,RB,TB,260.4,201,,12
61,Dylan Sampson,RB,CLE,208.2,205,High Upside,12
62,Alvin Kamara,RB,NO,182.1,206,,12
63,Kaytron Allen,RB,WAS,253.9,211,,12
64,Demond Claiborne,RB,MIN,258.1,212,,12
65,James Conner,RB,ARI,222,215,Avoid,12
66,Samaje Perine,RB,CIN,269.1,218,High Upside,12
67,Emanuel Wilson,RB,SEA,293.8,221,,12
68,Nicholas Singleton,RB,TEN,219.9,224,,12
69,LeQuint Allen Jr.,RB,JAX,298.1,225,,12
70,Kaleb Johnson,RB,GB,267.2,229,,12
71,Braelon Allen,RB,NYJ,215.5,232,,12
72,Trey Benson,RB,ARI,289.4,239,,12
1,Ja'Marr Chase,WR,CIN,4.5,4,"Target, High Upside",1
2,Puka Nacua,WR,LAR,5.8,5,"High Upside, Target",1
3,Amon-Ra St. Brown,WR,DET,10.7,12,"Target, High Upside, Safe",2
4,Jaxon Smith-Njigba,WR,SEA,6.6,13,High Upside,2
5,Justin Jefferson,WR,MIN,15.1,26,"High Upside, Target",3
6,Chris Olave,WR,NO,35.1,28,"Target, High Upside",3
7,A.J. Brown,WR,NE,24,31,"High Upside, Target",3
8,Drake London,WR,ATL,26.1,32,Safe,3
9,CeeDee Lamb,WR,DAL,13,34,"High Upside, Safe",4
10,George Pickens,WR,DAL,31.1,35,"Target, High Upside",4
11,Nico Collins,WR,HOU,30.3,37,High Upside,4
12,Malik Nabers,WR,NYG,34.6,41,"Boom/Bust, Target, High Upside",5
13,Tee Higgins,WR,CIN,47.1,42,"Target, High Upside",5
14,DeVonta Smith,WR,PHI,49.4,43,"Target, High Upside, Safe",5
15,Garrett Wilson,WR,NYJ,56.2,44,"Safe, High Upside, Target",6
16,Jaylen Waddle,WR,DEN,59.5,50,"Target, High Upside, Safe",7
17,Luther Burden III,WR,CHI,64.9,53,"High Upside, Target",7
18,Zay Flowers,WR,BAL,50.2,54,"High Upside, Safe, Target",7
19,Emeka Egbuka,WR,TB,57,55,"High Upside, Avoid",7
20,Rashee Rice,WR,KC,37.1,56,High Upside,7
21,Ladd McConkey,WR,LAC,52.2,57,"Target, High Upside, Boom/Bust",7
22,Parker Washington,WR,JAX,85.8,58,"Target, High Upside",7
23,Christian Watson,WR,GB,80.7,61,"Target, High Upside",7
24,Mike Evans,WR,SF,77.3,63,"High Upside, Target",7
25,Rome Odunze,WR,CHI,79.7,64,"High Upside, Target",7
26,DJ Moore,WR,BUF,70.9,65,"Boom/Bust, Target",7
27,Tetairoa McMillan,WR,CAR,44.2,66,Avoid,7
28,Davante Adams,WR,LAR,62.2,70,"Boom/Bust, High Upside",8
29,Jameson Williams,WR,DET,71.5,71,Boom/Bust,8
30,Terry McLaurin,WR,WAS,69.8,75,Safe,8
31,Alec Pierce,WR,IND,113.1,76,,8
32,Marvin Harrison Jr.,WR,ARI,89.6,79,"Avoid, Boom/Bust",9
33,KC Concepcion,WR,CLE,128.1,80,"High Upside, Target",9
34,Jayden Reed,WR,GB,115.5,81,"Boom/Bust, High Upside, Target",9
35,Chris Godwin Jr.,WR,TB,102.7,93,"Target, Sleeper",11
36,Josh Downs,WR,IND,125.4,94,"Target, High Upside, Sleeper",11
37,Quentin Johnston,WR,LAC,125.1,97,"High Upside, Sleeper, Target",11
38,De'Zhaun Stribling,WR,SF,132,98,"Sleeper, Target",11
39,Michael Pittman Jr.,WR,PIT,121.9,99,"Sleeper, Target",11
40,Michael Wilson,WR,ARI,98.6,100,"Boom/Bust, High Upside, Sleeper",12
41,DK Metcalf,WR,PIT,91.8,101,"Avoid, Boom/Bust",12
42,Courtland Sutton,WR,DEN,95.7,102,Avoid,12
43,Jordan Addison,WR,MIN,116.3,108,"Sleeper, Target, High Upside, Boom/Bust",12
44,Stefon Diggs,WR,WAS,122.2,109,"Sleeper, Target",12
45,Romeo Doubs,WR,NE,136.2,110,,12
46,Carnell Tate,WR,TEN,80,116,High Upside,12
47,Jordyn Tyson,WR,NO,107.7,121,"Avoid, High Upside",12
48,Denzel Boston,WR,CLE,179.2,122,"Target, Sleeper, High Upside",12
49,Matthew Golden,WR,GB,133.5,124,Boom/Bust,12
50,Brian Thomas Jr.,WR,JAX,89.4,127,"Avoid, Boom/Bust",12
51,Deebo Samuel Sr.,WR,SF,137,137,,12
52,Makai Lemon,WR,PHI,104.2,140,High Upside,12
53,Wan'Dale Robinson,WR,TEN,129.6,141,"Target, Safe",12
54,Jakobi Meyers,WR,JAX,130.4,142,,12
